"","GSM1045517","GSM1045518","GSM1045519","GSM1045520","GSM1045521","GSM1045522","GSM1045523","GSM1045524","GSM1045525","GSM1045526","GSM1045527","GSM1045528","GSM1045529"
"7892501",5.41303,5.232056,5.590446,6.818197,6.24972,4.788223,6.882631,7.374732,6.281832,5.146877,6.128311,6.201041,6.389065
"7892502",3.771905,4.830217,3.867787,3.593544,4.329471,4.858477,3.425378,4.02743,4.966854,4.910871,4.369304,5.319048,5.350814
"7892503",4.395819,5.032963,4.819382,3.010962,2.295089,4.295044,2.689371,5.053787,5.293808,5.03548,4.660673,3.93552,5.482688
"7892504",9.622141,9.394719,9.363083,9.291167,9.80823,9.06229,9.301064,9.880198,9.19899,10.4781,9.775122,9.034088,9.555803
"7892505",2.958928,2.670256,2.149778,1.882204,2.594486,2.591878,1.893154,2.847593,3.719773,2.205844,2.499367,2.470138,1.778128
"7892506",3.068507,3.550105,4.059966,2.186807,2.905439,2.712955,3.330375,3.320557,5.002482,3.82194,2.278946,3.937302,3.240491
"7892507",3.741884,5.596645,5.712957,4.490992,5.845696,4.260887,5.282096,4.756262,5.770682,5.642363,5.151225,6.108204,5.159036
"7892508",5.912856,6.723126,6.14898,2.535577,4.828074,6.34912,4.431342,4.015573,5.956921,4.388818,5.365367,5.23582,4.873232
"7892509",10.9606,11.09005,10.39521,10.68718,10.16627,10.99062,11.15603,11.73487,11.75802,11.37851,11.49303,11.89281,11.60041
"7892510",3.527076,3.532931,2.737487,3.658735,3.970428,5.147917,4.500332,3.844057,5.155185,2.829176,3.78214,5.306938,5.021112
"7892511",2.923226,2.162863,2.357531,2.971119,1.802731,2.518688,3.033638,2.510222,3.713347,3.025999,2.647399,4.022971,3.233177
"7892512",7.939774,7.283872,8.018718,8.120751,7.999047,8.140972,7.527267,7.109921,7.373392,7.50523,7.593645,6.546025,7.205929
"7892513",4.872652,1.24434,2.811548,2.006378,2.911253,3.28603,2.622448,3.717777,3.956763,2.72358,3.154926,2.940998,4.505588
"7892514",9.612455,10.0024,9.741205,10.26672,9.728534,10.31454,10.26674,10.7372,10.79009,10.77804,10.7273,10.55542,10.59171
"7892515",9.068207,9.504934,9.579841,9.217802,9.150224,9.791307,9.129602,9.071301,9.051906,9.414031,8.989645,8.606928,8.686127
"7892516",4.577899,4.524833,4.708159,3.829594,3.410627,5.762642,3.996801,6.988734,6.633572,5.907968,5.351137,6.57022,6.985415
"7892517",6.644938,6.910949,5.738713,4.983183,5.45667,6.240119,5.244378,6.243454,5.937923,6.099473,5.611514,6.1903,6.345882
"7892518",2.53366,2.140375,1.900557,2.401432,4.486764,1.866099,2.266102,2.535503,2.561928,2.585617,2.061051,1.962791,1.98499
"7892519",6.059826,4.703726,5.404114,5.520868,5.169113,5.054481,4.60909,4.906448,4.632205,5.926662,4.809545,5.569169,5.59856
"7892520",9.6509,9.950043,9.71892,9.528889,9.179746,9.942606,9.40709,9.127919,8.98411,9.139793,8.900963,8.887621,8.910493
"7892521",7.033479,7.012943,6.787196,6.517406,6.742661,6.724067,6.301899,7.091607,6.267572,6.094573,5.865562,6.878196,6.384632
"7892522",6.327631,7.323698,7.574136,7.645805,6.844304,7.661584,6.789989,6.657399,7.249083,6.612815,6.512919,6.175889,7.21397
"7892524",5.881308,5.438809,5.347194,4.626911,6.342404,6.341527,5.225167,6.828293,5.1047,4.579341,5.727545,5.319211,5.040853
"7892525",5.58776,6.344274,6.63844,5.310074,6.505667,6.893496,5.039181,5.0285,5.563449,5.780879,5.71322,5.125555,5.323635
"7892526",5.62559,5.225763,4.402859,4.634947,4.007442,5.128505,5.499588,4.333946,5.448826,4.70979,4.685072,6.498093,5.590264
"7892527",7.840856,8.119947,7.290321,7.269334,6.831378,8.309245,7.148128,8.905838,9.104546,8.671536,7.969766,9.234777,8.954906
"7892528",2.653513,2.383929,1.227234,1.572994,2.411044,1.30388,2.272018,2.374321,1.933454,2.011113,1.693474,1.432787,1.940435
"7892529",6.37943,6.979585,5.9454,6.500249,6.217467,6.367018,6.427704,5.34459,6.332769,6.020211,6.059407,5.053853,5.893137
"7892530",8.173148,8.31343,7.644933,7.838904,7.46853,8.523928,8.061178,9.385018,9.19417,8.879443,8.928419,9.452829,9.333126
"7892531",6.495545,7.465391,6.733581,5.225021,5.331972,6.798007,4.758028,6.490902,6.610248,6.415242,6.083402,6.681144,5.422996
"7892532",3.725531,3.737942,3.471752,3.225536,3.277807,4.149817,3.400199,4.191442,3.662919,3.597483,3.114853,4.058381,4.641213
"7892533",7.010609,7.819391,7.183198,7.567098,7.502555,7.994225,8.018064,7.425874,7.317339,7.012871,7.224328,6.364836,6.709959
"7892534",4.00352,3.869527,4.164752,3.462128,4.685203,3.835311,3.951989,4.065017,4.687133,5.006679,4.58812,4.040215,3.506358
"7892535",6.517997,6.528854,6.314133,6.045059,7.127217,7.112055,5.509979,6.009326,6.400742,6.366181,5.885265,6.354023,5.001739
"7892536",10.71159,10.85521,10.68109,10.64515,10.44258,10.22846,10.8654,11.16113,11.06448,10.50538,11.01096,10.83842,10.91467
"7892537",3.069744,4.667125,2.360251,2.369365,2.495069,2.797509,3.158386,3.828154,3.990935,3.16105,4.108459,4.260073,2.54033
"7892538",4.966627,6.275321,5.523248,4.014785,4.941532,5.857757,3.810716,4.822922,5.347714,5.286704,4.843587,4.742877,6.232388
"7892539",4.537018,1.577477,2.145218,2.84593,4.18656,3.900753,3.145677,3.902479,4.211319,4.526017,2.621753,4.967548,5.173965
"7892540",7.006338,5.78756,5.721709,4.224319,5.780491,6.666705,4.844449,6.509362,5.682005,5.137459,5.242997,5.844614,6.001486
"7892541",9.561418,9.190752,9.674809,9.43404,9.230951,9.853292,9.761697,10.30239,9.927786,10.08809,9.47206,10.10076,9.640251
"7892542",8.918676,9.096706,8.356179,8.302917,8.716346,8.668848,8.530878,8.035799,7.937674,7.931659,8.474123,7.943006,7.886326
"7892543",5.008422,5.62681,6.387077,6.021159,6.125034,5.909609,5.632729,4.737492,5.521443,6.261676,5.716522,5.216337,5.726499
"7892544",4.445232,4.464518,5.325342,4.525865,3.56406,5.219229,4.325767,4.443966,4.50353,5.425104,4.654029,3.913719,5.084317
"7892545",5.187232,5.476813,5.877193,5.780225,5.312388,5.658839,4.818496,5.686745,5.808699,5.44942,6.036632,4.903984,5.708
"7892547",5.422191,5.8794,4.844526,5.613439,5.112269,5.323538,5.017451,4.013125,4.728556,4.405643,4.451179,4.278667,5.678667
"7892548",6.592929,7.113469,6.215201,6.798525,7.092565,6.67594,5.910081,6.637562,6.612843,6.777715,6.069867,6.322771,6.691483
"7892549",6.347652,4.504364,5.575453,6.264445,5.286136,6.186186,6.555695,7.706791,7.76211,7.076745,6.819691,7.740942,7.740531
"7892550",6.428751,6.74897,6.606401,5.988816,6.018066,6.706573,5.89274,6.705738,6.877108,6.178418,6.873243,7.114668,7.327729
"7892551",10.72397,11.16568,10.87696,10.20098,10.54184,11.24209,10.76675,10.56302,10.53428,10.71417,10.54074,10.12559,10.21715
"7892552",5.405626,4.829199,3.144735,3.994976,4.371208,4.756423,4.718313,5.697747,5.733329,5.253994,4.142908,5.680984,5.344028
"7892553",4.45687,4.10041,2.402497,1.926646,3.337328,4.224757,3.12419,4.683499,4.529304,2.616916,3.931088,5.386016,3.862744
"7892554",2.875448,3.456267,2.659582,2.820887,2.701612,3.951314,2.767253,3.733245,3.135229,3.314742,3.446732,3.991284,2.834531
"7892555",5.498914,5.98297,4.793954,4.603603,4.270174,6.380075,5.324482,5.718143,6.444719,5.889877,6.518374,6.658221,5.848253
