"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ESM1",5.30979931868132,7.27385890532544,17.354987019063,2.59789279858203e-11,6.05490874565515e-07,15.303716813173
"RFC4",1.89935814285714,7.63670353846154,13.2048679911261,1.21548501828636e-09,1.41646546606001e-05,12.1420297852999
"MIR31HG",2.07389623443224,6.04096013017752,11.5744269452368,7.3796724237533e-09,3.30864272444703e-05,10.5476128093056
"PAPD5",1.3759175,6.60521638461538,11.4465299742261,8.57544600939933e-09,3.30864272444703e-05,10.4121846125485
"GSTCD",1.1550741007326,6.60514195857988,11.3793192999788,9.28467397290124e-09,3.30864272444703e-05,10.3403704202048
"SMAD3",-1.88267058974359,9.76620272781065,-11.1416408862509,1.23348940850508e-08,3.30864272444703e-05,10.0827855914919
"DSCC1",1.82394358882784,5.55421530473373,11.1279760892188,1.25398436371346e-08,3.30864272444703e-05,10.0678023692202
"RNFT1",1.21813735531136,7.6841806035503,11.1125319125743,1.27758318891975e-08,3.30864272444703e-05,10.0508450911156
"TXNDC9",1.70771477472528,6.39127546745562,11.1124998516095,1.27763266486563e-08,3.30864272444703e-05,10.0508098636566
"SERPINA9",2.31084466849817,5.8014680887574,10.931986524068,1.59116934830169e-08,3.50004262369873e-05,9.85078709293934
"POLR3F",1.25714067032967,6.54484210059172,10.9014185799153,1.65188436352538e-08,3.50004262369873e-05,9.81657999971323
"MIS12",1.87372375091575,6.78770939053254,10.7865316912541,1.90295096172767e-08,3.62845032429526e-05,9.68713638223238
"EXOSC8",1.44791755128205,7.40328802366864,10.7368162153414,2.02384923910578e-08,3.62845032429526e-05,9.63068799259685
"ZNF566",1.37668105860806,6.05086668639053,10.5699729183379,2.49268702595327e-08,4.14978975099235e-05,9.43931069051179
"PNRC1",-1.43088823809524,9.32313023076923,-10.3705610829915,3.20843044740458e-08,4.98525922917723e-05,9.2065964823827
"C3orf14",2.02655233882784,5.90330603550296,10.2841443598612,3.58349027177534e-08,5.22002548526674e-05,9.10437963256047
"CDC25A",1.78690692673992,6.38218283431953,10.1633046158629,4.18762508893224e-08,5.30425510653778e-05,8.96003788863232
"OSBPL11",1.21468851831502,6.28304084911243,10.1621675672186,4.19379671868986e-08,5.30425510653778e-05,8.95867183954039
"VRK1",1.73250601465202,7.28282886390533,10.1385727929433,4.32405916781301e-08,5.30425510653778e-05,8.930291869037
"ABHD5",1.69406240293041,7.87622318047337,10.042557276136,4.89997782531399e-08,5.71018915872966e-05,8.81414678846148
"C8orf59",1.6509686941392,5.64114979289941,9.89663542340653,5.93581254377478e-08,6.58790395036947e-05,8.6355937562053
"CENPQ",1.4925461978022,4.71072566272189,9.75437758665092,7.17083137136302e-08,7.2830028002559e-05,8.45912374416577
"TWSG1",-0.911540360805853,10.1027685147929,-9.75268439993553,7.18707102612458e-08,7.2830028002559e-05,8.45700893698869
"SRPRB",1.22039749084249,8.53127517159763,9.6729643123298,7.99745790186226e-08,7.76653130494599e-05,8.35705074288841
"CCS",-0.924184238095236,7.61753961538462,-9.53144550682394,9.68332722498495e-08,8.84059696086954e-05,8.17772366454595
"CCDC138",1.39911089194139,3.89645076331361,9.51799308427337,9.86208096205466e-08,8.84059696086954e-05,8.16055095852712
"TBCK",-1.14782272161172,7.95179826035503,-9.43891110591811,1.09859021408296e-07,9.48327485912283e-05,8.0591517207136
"CEP57L1",1.35753722893773,5.81788340236686,9.24962279409233,1.42623544608711e-07,0.000118718819792687,7.81331180029284
"MLKL",1.40980008974359,6.44562996449704,9.19767800253198,1.53317614549871e-07,0.000122902167578484,7.74506653096908
"CCNE2",2.52630873626374,6.56038729585799,9.17524165266422,1.58195607643821e-07,0.000122902167578484,7.71548455567261
"CDC45",1.86998208424909,7.21981723668639,9.14603978908866,1.64791315765705e-07,0.000123896490211332,7.67688713973266
"UTP11L",1.18698203663004,8.5389685443787,9.07904423964717,1.8104538799924e-07,0.000130226681897679,7.58792754238209
"SNORD60",2.04239661721612,5.64023621893491,9.05839439265642,1.8639013435889e-07,0.000130226681897679,7.56039259655139
"ABCC1",-0.893509593406595,8.86151162721893,-9.04489771001816,1.89973277750079e-07,0.000130226681897679,7.54236640377391
"CAMK2D",-1.03697088827839,9.85594256804734,-9.01928634612242,1.96974091050983e-07,0.000131167861146436,7.50809573735343
"OSGEPL1",1.27834382600733,5.59611433727811,8.99633863064875,2.03478291146161e-07,0.000131735236992877,7.47731786805496
"CYP2R1",1.49745853846154,6.63092386390533,8.95478397187396,2.15840156796017e-07,0.000135961798228237,7.42141169514158
"HNRNPAB",1.09467287545788,10.6665335798817,8.84984138886125,2.50722943479246e-07,0.000150718493297814,7.27923161593814
"RAD51",1.81133398717949,6.57110641715976,8.78867797920067,2.73756226967716e-07,0.000150718493297814,7.19570386835449
"ZNF724P",2.06800422893773,5.52491855621302,8.77763391703481,2.78148024062898e-07,0.000150718493297814,7.18056935348914
"NANS",0.915565366300365,8.36089559763314,8.77600612377766,2.78801594296297e-07,0.000150718493297814,7.17833731166267
"MTERF3",1.24933695238096,5.82231584615385,8.77275027442683,2.80113706643085e-07,0.000150718493297814,7.17387182378706
"ADRA1B",-1.10972567582417,7.40952201775148,-8.77072833830544,2.80931828066508e-07,0.000150718493297814,7.17109798150197
"ANGPTL4",1.81362078937729,7.07799340828402,8.74734771342734,2.90577420802854e-07,0.000150718493297814,7.13898366859209
"BLM",1.89603864468865,6.2773550887574,8.74634268686417,2.90999793984709e-07,0.000150718493297814,7.13760160851649
"TP53",-0.950731932234429,8.4070815147929,-8.72796506205997,2.98838472855759e-07,0.000151413658409765,7.11230619675352
"KIAA1549L",2.31810971428572,7.46517584615385,8.70255563347543,3.10045298601215e-07,0.000153749484563798,7.07725865477461
"OR7E14P",-0.784913943223443,7.69054782840237,-8.67462476976048,3.22877460503973e-07,0.000154651822782642,7.03863478056486
"SASS6",1.82874810805861,5.22681346745562,8.65462174147248,3.3241092739866e-07,0.000154651822782642,7.01091029528425
"SNORA21",1.44543986080586,6.56695510059172,8.65193428045898,3.33714224239314e-07,0.000154651822782642,7.00718138903223
"NOL11",0.957450527472531,7.22618733136095,8.63217427192697,3.43464000440503e-07,0.000154651822782642,6.97973450633218
"ZNF473",1.10672717216117,6.01370080473373,8.62903174280124,3.45042038215874e-07,0.000154651822782642,6.97536471062024
"RBBP8",1.38107511904762,7.13706984615385,8.5333497957753,3.96941120298985e-07,0.000172582946049683,6.84168456489481
"MTFR1",0.925535804029305,8.45535627218935,8.52190780506698,4.03677404539036e-07,0.000172582946049683,6.82561653386416
"PSMD2",1.11327567399268,9.70903043195266,8.51590046572132,4.07262283122348e-07,0.000172582946049683,6.81717336088724
"SNORD50B",1.96275707875458,5.53093027810651,8.49848255137447,4.17847450148977e-07,0.000173906616439682,6.7926654504265
"UBA7",-1.43211555860806,7.75931023668639,-8.45908346089962,4.42875612072718e-07,0.000179874700878811,6.73707802774028
"DNTTIP2",1.65603992857142,7.49997084615385,8.43545267134722,4.58641053073071e-07,0.000179874700878811,6.70363718510328
"TIPIN",1.64954282967033,6.60424082248521,8.43112444620326,4.61592203966402e-07,0.000179874700878811,6.69750395574978
"PNP",2.42956544688645,8.59634296449704,8.42898617798373,4.6305753862482e-07,0.000179874700878811,6.69447302659676
"RNVU1-18",1.65457666117216,9.03262850295858,8.40928578316398,4.76791002748163e-07,0.000182173244279532,6.66651915685683
"SPANXA2-OT1",-1.08264082600732,8.74882927810651,-8.3888993735456,4.91455604192775e-07,0.000182745845172001,6.63753639217891
"MED21",1.31341716483517,7.00556275739645,8.38546666829311,4.93971263819283e-07,0.000182745845172001,6.63265065782372
"MSH2",1.79966049084249,7.03569901775148,8.33490337639595,5.32640916136032e-07,0.000187733055488988,6.56049847424816
"BAZ1B",0.733444824175828,9.13231871005917,8.3322450357306,5.34760254140662e-07,0.000187733055488988,6.55669545541109
"GPAM",1.58448528388279,7.0547179112426,8.32997107556151,5.36580200286593e-07,0.000187733055488988,6.55344156440684
"HAT1",0.756258267399268,8.56512272781065,8.32213444937724,5.42902352217431e-07,0.000187733055488988,6.54222243919865
"SNORD116-3",1.75139592857143,6.23626115384615,8.30746666129379,5.54947392741911e-07,0.000187733055488988,6.52120105796783
"ORC1",1.64934091666667,6.28663023076923,8.30646434024183,5.55780702310044e-07,0.000187733055488988,6.51976348994373
"RBM34",0.918456291208793,7.28295711242604,8.27573869045634,5.81975797481809e-07,0.000192934375013804,6.47562874201215
"SCARNA13",1.68197564652015,5.38096410059172,8.26917886004498,5.87735042089506e-07,0.000192934375013804,6.46618932807907
"HIST1H4H",1.48594380769231,5.74739644970414,8.25681654196798,5.98752448288233e-07,0.000193396311628376,6.44838422188088
"SNORA49",1.62333386263737,5.14181065088757,8.24910200999546,6.05737793318378e-07,0.000193396311628376,6.43726254348007
"MCM6",1.31446619047619,8.59977792307692,8.23921811068052,6.14813154516389e-07,0.000193641218815047,6.42300141906602
"PGM2L1",1.9811601025641,7.10784589349112,8.21870150386841,6.34111805806906e-07,0.000197056584772554,6.39335577071407
"ORC6",1.85242176739927,7.06393118934911,8.196618301001,6.55598989949935e-07,0.000201053232352146,6.36138154902381
"DCK",1.79258457142857,7.35412946153846,8.17547742607257,6.76888782358703e-07,0.000204886322732913,6.33070856343416
"HIST1H3B",2.10269246153847,8.3127220591716,8.15489606496775,6.98315682226611e-07,0.000204926901196714,6.30078791404324
"EIF1AD",1.02159788461539,7.10189975443787,8.15391978029403,6.99349658168476e-07,0.000204926901196714,6.29936715779377
"CENPU",1.37077902930403,6.08086934319527,8.1491405014563,7.04434677261298e-07,0.000204926901196714,6.29241011613689
"HDAC5",-0.730328655677654,8.22624691715976,-8.14191834999896,7.12192860382454e-07,0.000204926901196714,6.28189104919707
"CLIP3",-1.43490129304029,8.51418341420118,-8.127430358685,7.28028759513464e-07,0.000206928857292443,6.26076744133761
"DMPK",-1.76965166300366,9.15172740828402,-8.11655214357532,7.40162590266114e-07,0.000207843005919666,6.24488773787075
"RAD54B",1.54170772344323,5.72181836686391,8.09429973750154,7.65651755450654e-07,0.000212441017432005,6.21235301499467
"CCT5",0.736181117216116,10.5711622189349,8.07727313102546,7.85778514463435e-07,0.000213499614582696,6.18741220804916
"LIN9",1.46332648901099,5.23949808284024,8.07559873062285,7.87787654100137e-07,0.000213499614582696,6.18495733898517
"PASK",0.647174478021979,6.21587101183432,8.05294042361729,8.15514000211378e-07,0.000216409579898276,6.15169907783991
"PNPLA2",-1.07593226007326,8.49928405029586,-8.05167261804842,8.17095423308373e-07,0.000216409579898276,6.14983605077622
"ZNF826P",1.35050288461539,4.89787694674556,8.03592739926628,8.37006838906252e-07,0.000219192341509978,6.1266798770365
"GMDS",-0.885477417582419,7.88786691715976,-8.00814667914925,8.73394375347273e-07,0.00022036788007649,6.08573864994065
"FAM89A",-1.04166969047619,6.83103623076923,-8.00434252402596,8.78505279939159e-07,0.00022036788007649,6.08012393441966
"ALDH3B1",-1.3274817032967,8.40602876331361,-7.99473574098916,8.91552706744162e-07,0.00022036788007649,6.06593582808332
"PTGS2",3.63065081318682,7.81581133136095,7.98928712021989,8.99043253430947e-07,0.00022036788007649,6.05788308502959
"MTHFD2",1.52967239377289,9.77553746745562,7.9832564349198,9.07411303157497e-07,0.00022036788007649,6.0489652201744
"CENPN",1.59587746153847,7.88874336686391,7.97748416763954,9.15497600245791e-07,0.00022036788007649,6.04042470112411
"NOP14",0.995287688644693,8.53022683431953,7.97673025332702,9.16559336827114e-07,0.00022036788007649,6.03930888018771
"RMI1",1.07958694322344,6.53184224852071,7.97632129686558,9.171358118771e-07,0.00022036788007649,6.03870357612231
"FANCL",1.86764532783883,5.96855819526627,7.96804855872508,9.28879586547526e-07,0.000220912209425135,6.02645388994283
"SNORD116-5",1.62144670512821,5.27833047928994,7.95799565252412,9.43363852679631e-07,0.000222090720347517,6.01155529037956
"BCKDHB",-1.06171438095238,8.22173992307692,-7.93117024185148,9.8318974342038e-07,0.000227869108089469,5.97172981117022
"TEX30",1.61379478937729,5.77290206213018,7.92385457757719,9.94355185626651e-07,0.000227869108089469,5.96085122814023
"FASTKD1",1.12075510989011,6.50606309467456,7.91472213519372,1.00848104923012e-06,0.000227869108089469,5.94726044149026
"RNA5SP416",-1.20582809157509,9.12279510059172,-7.90754456469377,1.01973132781024e-06,0.000227869108089469,5.93657059918048
"HAUS3",1.41506065750916,5.9209109408284,7.9023777164834,1.0279116745903e-06,0.000227869108089469,5.9288708968349
"MORN2",-1.49293116666666,7.52330461538462,-7.89928372456618,1.03284323274045e-06,0.000227869108089469,5.92425838350743
"SNN",-0.841259635531137,6.93709512426036,-7.89125126036257,1.04576288201176e-06,0.000227869108089469,5.91227728828715
"MPHOSPH10",1.54990710164836,7.76895754142012,7.89102871097392,1.04612324904849e-06,0.000227869108089469,5.91194520716275
"HIST2H2AB",1.91012631868132,8.59849390532544,7.87391686562433,1.07422703539501e-06,0.000231824162166218,5.88639045064594
"HIST2H2AC",1.51181654029304,9.16244572189349,7.86196184069027,1.09433216509301e-06,0.000233996328181861,5.86851224303724
"GCSH",1.06042577106227,8.23848459763314,7.84923421278587,1.11617238233418e-06,0.000236496633773298,5.8494563578527
"PDCD10",0.908175673992675,6.35418850887574,7.80020884568911,1.20467942217387e-06,0.00025295011975321,5.77584013745598
"FANCM",1.50290146703297,5.41573309467456,7.79253937943454,1.21918003120443e-06,0.000253709187386442,5.76429276057849
"FASTKD3",1.31801313003663,4.66796568639053,7.77104532525441,1.26080554212643e-06,0.000257522394243595,5.73188597459769
"ZNF836",0.754902113553114,6.40942050295858,7.76987403565151,1.26311639551941e-06,0.000257522394243595,5.73011811599961
"DGKI",1.2505475989011,6.45731986982249,7.76568146557497,1.27142455735022e-06,0.000257522394243595,5.7237885526308
"XRCC2",1.7829650970696,6.63687824260355,7.76053548671526,1.28170067929193e-06,0.000257522394243595,5.71601618682266
"SUZ12",1.07583671978022,8.43706949704142,7.73107166786353,1.34224430344097e-06,0.000265757481115986,5.6714418344251
"GCNT4",-1.87595374908425,8.37627969822485,-7.72953087284006,1.3454920312218e-06,0.000265757481115986,5.66910742439558
"RRS1",1.0602436959707,7.09865103550296,7.71274184740142,1.38142087030392e-06,0.000270561144740953,5.64364886148223
"RNU1-89P",1.68468236813187,8.61105699408284,7.70511040096758,1.39808456814754e-06,0.000271542975248456,5.63206332509597
"GPHN",1.01110786446887,6.82901020118343,7.69843717829087,1.4128291899046e-06,0.000272138925033937,5.62192565301762
"DHRS3",-2.53593208424908,7.84608153254438,-7.68482151876607,1.44342281533452e-06,0.000275752914401653,5.60122150935097
"CSE1L",0.948689771062275,9.86003982840237,7.67389319893163,1.46848189454981e-06,0.000278259410701402,5.58458450979072
"GLRX5",-0.761879397435894,9.82723512426035,-7.647183254225,1.53167386216306e-06,0.000284656426634407,5.54384969883904
"GTPBP4",1.0817215,8.95096553846154,7.63982689926063,1.5495755884868e-06,0.000284656426634407,5.53261263580342
"RN7SL49P",0.912396477106229,4.73875119822485,7.63935483732588,1.55073183943776e-06,0.000284656426634407,5.53189128029941
"SGSH",-1.11366436630036,7.99700878698225,-7.63472095499484,1.56213017407681e-06,0.000284656426634407,5.52480856360172
"HSPA13",1.23929917490843,9.35201286094675,7.62713073740844,1.58099115712986e-06,0.000284656426634407,5.51320051423765
"RNA5SP413",-1.43639856410256,10.2618245088757,-7.62348234570332,1.59014212891424e-06,0.000284656426634407,5.50761791548286
"PAK2",0.883402761904765,8.94941246153846,7.62323598432669,1.59076206139792e-06,0.000284656426634407,5.50724087563478
"DNA2",1.57114401282051,6.16656400591716,7.61959720729782,1.59994816531975e-06,0.000284656426634407,5.5016709480339
"RNPEP",-0.735042945054936,9.82644720118343,-7.61168704175275,1.62011033199924e-06,0.000286059935665956,5.48955615772899
