"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03030","hsa03030","DNA replication","12/201","36/8087",2.97118600113821e-11,6.77430408259512e-09,6.77430408259512e-09,"DNA2/FEN1/MCM3/MCM6/PCNA/POLA1/POLD3/POLE2/PRIM1/PRIM2/RFC3/RFC4",12
"hsa03440","hsa03440","Homologous recombination","9/201","41/8087",5.32403533943924e-07,5.04559350770984e-05,5.04559350770984e-05,"BLM/BRCA1/BRCA2/BRIP1/POLD3/RAD51/RAD54B/RBBP8/XRCC2",9
"hsa03460","hsa03460","Fanconi anemia pathway","10/201","54/8087",6.638938825934e-07,5.04559350770984e-05,5.04559350770984e-05,"BLM/BRCA1/BRCA2/BRIP1/FANCB/FANCI/FANCL/FANCM/RAD51/USP1",10
"hsa04110","hsa04110","Cell cycle","14/201","124/8087",2.14524361644564e-06,0.000122278886137402,0.000122278886137402,"CCNE2/CDC25A/CDC45/CDC6/CDC7/CDK1/MCM3/MCM6/ORC1/ORC6/PCNA/RBL1/TTK/SMAD3",14
"hsa03430","hsa03430","Mismatch repair","6/201","23/8087",1.5515306923563e-05,0.000707497995714471,0.000707497995714471,"EXO1/MSH2/PCNA/POLD3/RFC3/RFC4",6
"hsa04216","hsa04216","Ferroptosis","6/201","41/8087",0.000476050622430011,0.0180899236523404,0.0180899236523404,"GCLC/SAT1/SLC3A2/TFRC/LPCAT3/SLC40A1",6
"hsa03420","hsa03420","Nucleotide excision repair","5/201","47/8087",0.00593245872427628,0.193228655590713,0.193228655590713,"PCNA/POLD3/POLE2/RFC3/RFC4",5
"hsa03410","hsa03410","Base excision repair","4/201","33/8087",0.00862052090061734,0.245684845667594,0.245684845667594,"FEN1/PCNA/POLD3/POLE2",4
"hsa04512","hsa04512","ECM-receptor interaction","6/201","88/8087",0.0219794982852413,0.556813956559445,0.556813956559445,"COL6A3/HMMR/ITGA2/LAMC2/ITGA8/SDC4",6
"hsa05323","hsa05323","Rheumatoid arthritis","6/201","93/8087",0.0279519090649712,0.637303526681344,0.637303526681344,"FLT1/IL1B/TEK/CCL2/CSF1/ICAM1",6
"hsa03450","hsa03450","Non-homologous end-joining","2/201","13/8087",0.0400463468228924,0.830051552329043,0.830051552329043,"FEN1/XRCC4",2
"hsa04668","hsa04668","TNF signaling pathway","6/201","112/8087",0.0599806191120687,0.999990619225258,0.999990619225258,"IL1B/MLKL/PTGS2/CCL2/CSF1/ICAM1",6
"hsa04514","hsa04514","Cell adhesion molecules","7/201","149/8087",0.0776682921270596,0.999990619225258,0.999990619225258,"CD274/CDH2/CLDN11/ICAM1/ITGA8/NFASC/SDC4",7
"hsa04350","hsa04350","TGF-beta signaling pathway","5/201","94/8087",0.0843588197131866,0.999990619225258,0.999990619225258,"FMOD/RBL1/SMURF2/BAMBI/SMAD3",5
"hsa00532","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","2/201","20/8087",0.0871714575573754,0.999990619225258,0.999990619225258,"CHST11/XYLT1",2
"hsa04218","hsa04218","Cellular senescence","7/201","156/8087",0.0936414574416051,0.999990619225258,0.999990619225258,"CCNE2/CDC25A/CDK1/LIN9/RBL1/SMAD3/ZFP36L2",7
