"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03030","hsa03030","DNA replication","12/141","36/8087",4.30802269857585e-13,7.19439790662167e-11,7.07422674713509e-11,"DNA2/FEN1/MCM3/MCM6/PCNA/POLA1/POLD3/POLE2/PRIM1/PRIM2/RFC3/RFC4",12
"hsa03460","hsa03460","Fanconi anemia pathway","10/141","54/8087",2.34483470516162e-08,1.39946475285312e-06,1.37608888399046e-06,"BLM/BRCA1/BRCA2/BRIP1/FANCB/FANCI/FANCL/FANCM/RAD51/USP1",10
"hsa03440","hsa03440","Homologous recombination","9/141","41/8087",2.51400853805949e-08,1.39946475285312e-06,1.37608888399046e-06,"BLM/BRCA1/BRCA2/BRIP1/POLD3/RAD51/RAD54B/RBBP8/XRCC2",9
"hsa04110","hsa04110","Cell cycle","13/141","124/8087",2.07132204159564e-07,8.64776952366178e-06,8.50332206549788e-06,"CCNE2/CDC25A/CDC45/CDC6/CDC7/CDK1/MCM3/MCM6/ORC1/ORC6/PCNA/RBL1/TTK",13
"hsa03430","hsa03430","Mismatch repair","6/141","23/8087",1.99692818910871e-06,6.6697401516231e-05,6.55833257896756e-05,"EXO1/MSH2/PCNA/POLD3/RFC3/RFC4",6
"hsa03420","hsa03420","Nucleotide excision repair","5/141","47/8087",0.00127783033645374,0.0355662776979624,0.0349721986818918,"PCNA/POLD3/POLE2/RFC3/RFC4",5
"hsa03410","hsa03410","Base excision repair","4/141","33/8087",0.00244675132572183,0.0583724959136494,0.0573974747086625,"FEN1/PCNA/POLD3/POLE2",4
"hsa04216","hsa04216","Ferroptosis","4/141","41/8087",0.00543853003253264,0.113529314429119,0.111632984878302,"GCLC/SAT1/SLC3A2/TFRC",4
"hsa03450","hsa03450","Non-homologous end-joining","2/141","13/8087",0.0207600715560749,0.385214661096057,0.378780252952946,"FEN1/XRCC4",2
"hsa03022","hsa03022","Basal transcription factors","3/141","45/8087",0.0432518594157906,0.709330943071935,0.697482679604298,"GTF2E1/TAF13/TAF4B",3
"hsa00532","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","2/141","20/8087",0.046722397447852,0.709330943071935,0.697482679604298,"CHST11/XYLT1",2
"hsa03060","hsa03060","Protein export","2/141","23/8087",0.0601550605888939,0.837157926528773,0.823174513321706,"SEC61G/SRPRB",2
"hsa04512","hsa04512","ECM-receptor interaction","4/141","88/8087",0.0673018155838883,0.864569477116103,0.850128196849115,"COL6A3/HMMR/ITGA2/LAMC2",4
"hsa05222","hsa05222","Small cell lung cancer","4/141","92/8087",0.0765581528482954,0.913229394690381,0.897975326641661,"CCNE2/ITGA2/LAMC2/PTGS2",4
"hsa05168","hsa05168","Herpes simplex virus 1 infection","13/141","498/8087",0.0936332091226897,0.998572687300274,0.98189309309072,"IL1B/ZNF347/ZNF443/ZNF562/ZNF566/ZNF675/ZNF682/ZNF721/ZNF730/ZNF749/ZNF823/ZNF845/ZNF93",13
"hsa03040","hsa03040","Spliceosome","5/141","151/8087",0.123624850514092,0.998572687300274,0.98189309309072,"LSM3/LSM5/RNU4-1/RNU5A-1/RNVU1-18",5
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","4/141","111/8087",0.128445774329194,0.998572687300274,0.98189309309072,"GNL3/MPHOSPH10/RIOK2/UTP14A",4
"hsa01524","hsa01524","Platinum drug resistance","3/141","73/8087",0.134432096191299,0.998572687300274,0.98189309309072,"BRCA1/MSH2/PMAIP1",3
"hsa04115","hsa04115","p53 signaling pathway","3/141","73/8087",0.134432096191299,0.998572687300274,0.98189309309072,"CCNE2/CDK1/PMAIP1",3
"hsa04218","hsa04218","Cellular senescence","5/141","156/8087",0.136461228853163,0.998572687300274,0.98189309309072,"CCNE2/CDC25A/CDK1/LIN9/RBL1",5
"hsa01230","hsa01230","Biosynthesis of amino acids","3/141","75/8087",0.14246267444423,0.998572687300274,0.98189309309072,"ASNS/PRPS1/PSAT1",3
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","3/141","77/8087",0.150649846893605,0.998572687300274,0.98189309309072,"CDH2/DSP/ITGA2",3
"hsa03018","hsa03018","RNA degradation","3/141","79/8087",0.158984725963944,0.998572687300274,0.98189309309072,"EXOSC8/LSM3/LSM5",3
"hsa04068","hsa04068","FoxO signaling pathway","4/141","131/8087",0.194903261459168,0.998572687300274,0.98189309309072,"FBXO32/HOMER1/HOMER2/PLK4",4
"hsa00270","hsa00270","Cysteine and methionine metabolism","2/141","50/8087",0.216614385439813,0.998572687300274,0.98189309309072,"GCLC/PSAT1",2
"hsa05323","hsa05323","Rheumatoid arthritis","3/141","93/8087",0.220729761568391,0.998572687300274,0.98189309309072,"FLT1/IL1B/TEK",3
"hsa00330","hsa00330","Arginine and proline metabolism","2/141","51/8087",0.223050810870394,0.998572687300274,0.98189309309072,"P4HA3/SAT1",2
"hsa04350","hsa04350","TGF-beta signaling pathway","3/141","94/8087",0.225322557034792,0.998572687300274,0.98189309309072,"FMOD/RBL1/SMURF2",3
"hsa04640","hsa04640","Hematopoietic cell lineage","3/141","99/8087",0.24854920936478,0.998572687300274,0.98189309309072,"IL1B/ITGA2/TFRC",3
"hsa00240","hsa00240","Pyrimidine metabolism","2/141","57/8087",0.261904432802832,0.998572687300274,0.98189309309072,"DCK/PNP",2
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","2/141","57/8087",0.261904432802832,0.998572687300274,0.98189309309072,"ABHD5/PTGS2",2
"hsa05134","hsa05134","Legionellosis","2/141","57/8087",0.261904432802832,0.998572687300274,0.98189309309072,"CLK1/IL1B",2
"hsa04974","hsa04974","Protein digestion and absorption","3/141","103/8087",0.267387951709734,0.998572687300274,0.98189309309072,"COL6A3/COL7A1/SLC3A2",3
"hsa05203","hsa05203","Viral carcinogenesis","5/141","204/8087",0.283428868132512,0.998572687300274,0.98189309309072,"CCNE2/CDK1/GTF2E1/PMAIP1/RBL1",5
"hsa04150","hsa04150","mTOR signaling pathway","4/141","155/8087",0.285182146885031,0.998572687300274,0.98189309309072,"GRB10/RNF152/SLC3A2/SLC7A5",4
"hsa00561","hsa00561","Glycerolipid metabolism","2/141","61/8087",0.287868286043267,0.998572687300274,0.98189309309072,"DGKI/GPAM",2
"hsa04066","hsa04066","HIF-1 signaling pathway","3/141","109/8087",0.295937397541956,0.998572687300274,0.98189309309072,"FLT1/TEK/TFRC",3
"hsa05206","hsa05206","MicroRNAs in cancer","7/141","310/8087",0.296364313105109,0.998572687300274,0.98189309309072,"BRCA1/CCNE2/CDC25A/MIR15A/MIR221/MIR29A/PTGS2",7
"hsa00100","hsa00100","Steroid biosynthesis","1/141","20/8087",0.29686130497526,0.998572687300274,0.98189309309072,"CYP2R1",1
